timestamp_ms,pwm_us,adc_raw,throttle_pct,esc_type,system_state
9406,1000,1023,0,UNI,DISARMED
9478,1000,1023,0,UNI,DISARMED
9549,1000,1023,0,UNI,DISARMED
9621,1000,1023,0,UNI,DISARMED
9693,1000,1023,0,UNI,DISARMED
9763,1000,1023,0,UNI,DISARMED
9835,1000,1023,0,UNI,DISARMED
9907,1000,1023,0,UNI,DISARMED
9978,1000,1023,0,UNI,DISARMED
10050,1000,1023,0,UNI,DISARMED
10122,1000,1023,0,UNI,DISARMED
10193,1000,1023,0,UNI,DISARMED
10265,1000,1023,0,UNI,DISARMED
10337,1000,1023,0,UNI,DISARMED
10408,1000,1023,0,UNI,DISARMED
10480,1000,1023,0,UNI,DISARMED
10552,1000,1023,0,UNI,DISARMED
10624,1000,1023,0,UNI,DISARMED
10694,1000,1023,0,UNI,DISARMED
10766,1000,1023,0,UNI,DISARMED
10838,1000,1023,0,UNI,DISARMED
10909,1000,1023,0,UNI,DISARMED
10981,1000,1023,0,UNI,DISARMED
11053,1000,1023,0,UNI,DISARMED
11124,1000,1023,0,UNI,DISARMED
11196,1000,1023,0,UNI,DISARMED
11268,1000,1023,0,UNI,DISARMED
11339,1000,1023,0,UNI,DISARMED
11411,1000,1016,0,UNI,DISARMED
11483,1000,997,0,UNI,DISARMED
11554,1000,978,0,UNI,DISARMED
11625,1000,957,0,UNI,DISARMED
11697,1000,937,0,UNI,DISARMED
11768,1000,919,0,UNI,DISARMED
11840,1000,900,0,UNI,DISARMED
11912,1000,881,0,UNI,DISARMED
11983,1000,863,0,UNI,DISARMED
12055,1000,847,0,UNI,DISARMED
12127,1000,829,0,UNI,DISARMED
12198,1000,811,0,UNI,DISARMED
12269,1000,795,0,UNI,DISARMED
12341,1000,777,0,UNI,DISARMED
12412,1000,760,0,UNI,DISARMED
12484,1000,744,0,UNI,DISARMED
12556,1000,725,0,UNI,DISARMED
12627,1000,707,0,UNI,DISARMED
12699,1000,691,0,UNI,DISARMED
12771,1000,674,0,UNI,DISARMED
12843,1000,659,0,UNI,DISARMED
12913,1000,644,0,UNI,DISARMED
12985,1000,629,0,UNI,DISARMED
13057,1000,615,0,UNI,DISARMED
13128,1000,602,0,UNI,DISARMED
13200,1000,586,0,UNI,DISARMED
13272,1000,572,0,UNI,DISARMED
13343,1000,558,0,UNI,DISARMED
13415,1000,543,0,UNI,DISARMED
13486,1000,529,0,UNI,DISARMED
13557,1000,515,0,UNI,DISARMED
13629,1000,501,0,UNI,DISARMED
13701,1000,487,0,UNI,DISARMED
13772,1000,473,0,UNI,DISARMED
13844,1000,458,0,UNI,DISARMED
13916,1000,443,0,UNI,DISARMED
13987,1000,427,0,UNI,DISARMED
14059,1000,411,0,UNI,DISARMED
14130,1000,394,0,UNI,DISARMED
14201,1000,378,0,UNI,DISARMED
14273,1000,360,0,UNI,DISARMED
14345,1000,342,0,UNI,DISARMED
14416,1000,325,0,UNI,DISARMED
14488,1000,307,0,UNI,DISARMED
14560,1000,288,0,UNI,DISARMED
14631,1000,270,0,UNI,DISARMED
14703,1000,249,0,UNI,DISARMED
14774,1000,227,0,UNI,DISARMED
14845,1000,206,0,UNI,DISARMED
14917,1000,183,0,UNI,DISARMED
14989,1000,162,0,UNI,DISARMED
15060,1000,141,0,UNI,DISARMED
15132,1000,119,0,UNI,DISARMED
15204,1000,99,0,UNI,DISARMED
15276,1000,80,0,UNI,DISARMED
15346,1000,61,0,UNI,DISARMED
15424,1038,44,4,UNI,ARMED
15502,1021,25,2,UNI,ARMED
15580,1006,7,0,UNI,ARMED
15657,1000,0,0,UNI,ARMED
15734,1000,0,0,UNI,ARMED
15812,1000,0,0,UNI,ARMED
15890,1000,0,0,UNI,ARMED
15967,1000,0,0,UNI,ARMED
16045,1000,0,0,UNI,ARMED
16122,1000,0,0,UNI,ARMED
16200,1000,0,0,UNI,ARMED
16277,1000,0,0,UNI,ARMED
16355,1000,0,0,UNI,ARMED
16433,1000,0,0,UNI,ARMED
16510,1000,0,0,UNI,ARMED
16587,1000,0,0,UNI,ARMED
16665,1000,0,0,UNI,ARMED
16743,1000,0,0,UNI,ARMED
16821,1000,0,0,UNI,ARMED
16898,1000,0,0,UNI,ARMED
16975,1000,0,0,UNI,ARMED
17053,1000,0,0,UNI,ARMED
17130,1000,0,0,UNI,ARMED
17208,1000,0,0,UNI,ARMED
17286,1000,0,0,UNI,ARMED
17363,1000,0,0,UNI,ARMED
17440,1000,0,0,UNI,ARMED
17518,1000,0,0,UNI,ARMED
17596,1000,0,0,UNI,ARMED
17674,1000,0,0,UNI,ARMED
17751,1000,0,0,UNI,ARMED
17828,1000,0,0,UNI,ARMED
17906,1000,0,0,UNI,ARMED
17983,1000,0,0,UNI,ARMED
18061,1000,0,0,UNI,ARMED
18139,1000,0,0,UNI,ARMED
18216,1000,0,0,UNI,ARMED
18293,1000,0,0,UNI,ARMED
18371,1000,0,0,UNI,ARMED
18449,1000,0,0,UNI,ARMED
18527,1000,0,0,UNI,ARMED
18604,1000,0,0,UNI,ARMED
18681,1000,0,0,UNI,ARMED
18759,1000,0,0,UNI,ARMED
18836,1000,0,0,UNI,ARMED
18914,1009,11,1,UNI,ARMED
18992,1021,25,2,UNI,ARMED
19069,1031,36,3,UNI,ARMED
19147,1043,50,4,UNI,ARMED
19225,1054,62,6,UNI,ARMED
19303,1066,76,7,UNI,ARMED
19381,1077,88,8,UNI,ARMED
19460,1088,101,9,UNI,ARMED
19537,1100,114,11,UNI,ARMED
19616,1110,126,12,UNI,ARMED
19695,1120,137,13,UNI,ARMED
19774,1130,148,14,UNI,ARMED
19852,1139,159,15,UNI,ARMED
19931,1150,171,16,UNI,ARMED
20009,1162,185,18,UNI,ARMED
20088,1174,198,19,UNI,ARMED
20167,1185,211,20,UNI,ARMED
20246,1197,224,21,UNI,ARMED
20325,1207,236,23,UNI,ARMED
20404,1218,248,24,UNI,ARMED
20484,1228,260,25,UNI,ARMED
20562,1238,271,26,UNI,ARMED
20641,1247,281,27,UNI,ARMED
20720,1256,291,28,UNI,ARMED
20799,1263,300,29,UNI,ARMED
20879,1270,308,30,UNI,ARMED
20958,1279,318,31,UNI,ARMED
21037,1287,327,31,UNI,ARMED
21115,1295,336,32,UNI,ARMED
21194,1302,344,33,UNI,ARMED
21273,1309,352,34,UNI,ARMED
21352,1317,361,35,UNI,ARMED
21431,1324,369,36,UNI,ARMED
21510,1333,379,37,UNI,ARMED
21588,1340,387,37,UNI,ARMED
21668,1349,397,38,UNI,ARMED
21747,1357,406,39,UNI,ARMED
21826,1365,415,40,UNI,ARMED
21905,1372,423,41,UNI,ARMED
21984,1380,433,42,UNI,ARMED
22063,1388,442,43,UNI,ARMED
22142,1395,450,43,UNI,ARMED
22221,1403,459,44,UNI,ARMED
22300,1412,469,45,UNI,ARMED
22379,1419,477,46,UNI,ARMED
22458,1425,484,47,UNI,ARMED
22537,1435,495,48,UNI,ARMED
22616,1442,503,49,UNI,ARMED
22695,1452,514,50,UNI,ARMED
22774,1460,524,51,UNI,ARMED
22853,1470,535,52,UNI,ARMED
22932,1481,547,53,UNI,ARMED
23011,1490,557,54,UNI,ARMED
23091,1498,567,55,UNI,ARMED
23170,1508,578,56,UNI,ARMED
23248,1519,590,57,UNI,ARMED
23328,1529,602,58,UNI,ARMED
23407,1536,610,59,UNI,ARMED
23486,1546,621,60,UNI,ARMED
23566,1556,632,61,UNI,ARMED
23645,1565,643,62,UNI,ARMED
23724,1575,654,63,UNI,ARMED
23802,1584,664,64,UNI,ARMED
23882,1595,677,66,UNI,ARMED
23961,1604,687,67,UNI,ARMED
24040,1613,697,68,UNI,ARMED
24119,1621,706,69,UNI,ARMED
24198,1628,714,69,UNI,ARMED
24276,1636,723,70,UNI,ARMED
24355,1644,733,71,UNI,ARMED
24434,1652,742,72,UNI,ARMED
24513,1658,749,73,UNI,ARMED
24592,1665,756,73,UNI,ARMED
24671,1673,766,74,UNI,ARMED
24750,1680,773,75,UNI,ARMED
24828,1688,783,76,UNI,ARMED
24907,1695,790,77,UNI,ARMED
24986,1702,799,78,UNI,ARMED
25065,1711,809,79,UNI,ARMED
25145,1720,819,80,UNI,ARMED
25224,1730,830,81,UNI,ARMED
25303,1739,841,82,UNI,ARMED
25381,1746,849,82,UNI,ARMED
25460,1755,859,83,UNI,ARMED
25539,1763,868,84,UNI,ARMED
25618,1771,877,85,UNI,ARMED
25697,1780,887,86,UNI,ARMED
25777,1788,896,87,UNI,ARMED
25856,1797,906,88,UNI,ARMED
25934,1804,915,89,UNI,ARMED
26013,1813,925,90,UNI,ARMED
26093,1822,935,91,UNI,ARMED
26172,1830,944,92,UNI,ARMED
26251,1838,953,93,UNI,ARMED
26331,1845,961,93,UNI,ARMED
26409,1854,971,94,UNI,ARMED
26488,1862,980,95,UNI,ARMED
26567,1871,991,96,UNI,ARMED
26646,1878,998,97,UNI,ARMED
26726,1886,1008,98,UNI,ARMED
26806,1894,1017,99,UNI,ARMED
26887,1900,1023,100,UNI,ARMED
26967,1900,1023,100,UNI,ARMED
27047,1900,1023,100,UNI,ARMED
27128,1900,1023,100,UNI,ARMED
27208,1900,1023,100,UNI,ARMED
27289,1900,1023,100,UNI,ARMED
27370,1900,1023,100,UNI,ARMED
27450,1900,1023,100,UNI,ARMED
27531,1900,1023,100,UNI,ARMED
27612,1900,1023,100,UNI,ARMED
27692,1900,1023,100,UNI,ARMED
27772,1900,1023,100,UNI,ARMED
27853,1900,1023,100,UNI,ARMED
27933,1900,1023,100,UNI,ARMED
28014,1900,1023,100,UNI,ARMED
28095,1900,1023,100,UNI,ARMED
28175,1900,1023,100,UNI,ARMED
28256,1900,1023,100,UNI,ARMED
28337,1900,1023,100,UNI,ARMED
28417,1900,1023,100,UNI,ARMED
28497,1900,1023,100,UNI,ARMED
28578,1900,1023,100,UNI,ARMED
28658,1900,1023,100,UNI,ARMED
28739,1900,1023,100,UNI,ARMED
28820,1900,1023,100,UNI,ARMED
28900,1900,1023,100,UNI,ARMED
28981,1900,1023,100,UNI,ARMED
29062,1900,1023,100,UNI,ARMED
