timestamp_ms,pwm_us,adc_raw,throttle_pct,esc_type,system_state
8522,1500,495,0,BI,DISARMED
8593,1500,495,0,BI,DISARMED
8665,1500,494,0,BI,DISARMED
8736,1500,495,0,BI,DISARMED
8808,1500,495,0,BI,DISARMED
8880,1500,495,0,BI,DISARMED
8951,1500,496,0,BI,DISARMED
9022,1500,495,0,BI,DISARMED
9094,1500,495,0,BI,DISARMED
9165,1500,495,0,BI,DISARMED
9237,1500,491,0,BI,DISARMED
9309,1500,483,0,BI,DISARMED
9380,1500,469,0,BI,DISARMED
9451,1500,449,0,BI,DISARMED
9523,1500,420,0,BI,DISARMED
9594,1500,386,0,BI,DISARMED
9666,1500,342,0,BI,DISARMED
9738,1500,291,0,BI,DISARMED
9809,1500,233,0,BI,DISARMED
9880,1500,171,0,BI,DISARMED
9952,1500,110,0,BI,DISARMED
10023,1500,50,0,BI,DISARMED
10101,1500,0,-100,BI,WAITING_NEUTRAL
10179,1500,0,-100,BI,WAITING_NEUTRAL
10258,1500,0,-100,BI,WAITING_NEUTRAL
10336,1500,0,-100,BI,WAITING_NEUTRAL
10414,1500,0,-100,BI,WAITING_NEUTRAL
10491,1500,0,-100,BI,WAITING_NEUTRAL
10570,1500,0,-100,BI,WAITING_NEUTRAL
10648,1500,0,-100,BI,WAITING_NEUTRAL
10726,1500,0,-100,BI,WAITING_NEUTRAL
10804,1500,0,-100,BI,WAITING_NEUTRAL
10882,1500,0,-100,BI,WAITING_NEUTRAL
10960,1500,0,-100,BI,WAITING_NEUTRAL
11038,1500,0,-100,BI,WAITING_NEUTRAL
11116,1500,29,-95,BI,WAITING_NEUTRAL
11193,1500,95,-82,BI,WAITING_NEUTRAL
11271,1500,148,-72,BI,WAITING_NEUTRAL
11347,1500,192,-63,BI,WAITING_NEUTRAL
11425,1500,222,-57,BI,WAITING_NEUTRAL
11503,1500,231,-55,BI,WAITING_NEUTRAL
11581,1500,232,-55,BI,WAITING_NEUTRAL
11658,1500,234,-55,BI,WAITING_NEUTRAL
11736,1500,239,-54,BI,WAITING_NEUTRAL
11813,1500,245,-53,BI,WAITING_NEUTRAL
11890,1500,251,-51,BI,WAITING_NEUTRAL
11968,1500,260,-50,BI,WAITING_NEUTRAL
12046,1500,269,-48,BI,WAITING_NEUTRAL
12123,1500,275,-47,BI,WAITING_NEUTRAL
12200,1500,282,-45,BI,WAITING_NEUTRAL
12277,1500,288,-44,BI,WAITING_NEUTRAL
12355,1500,295,-43,BI,WAITING_NEUTRAL
12432,1500,302,-41,BI,WAITING_NEUTRAL
12510,1500,309,-40,BI,WAITING_NEUTRAL
12588,1500,314,-39,BI,WAITING_NEUTRAL
12664,1500,318,-38,BI,WAITING_NEUTRAL
12742,1500,320,-38,BI,WAITING_NEUTRAL
12820,1500,320,-38,BI,WAITING_NEUTRAL
12898,1500,320,-38,BI,WAITING_NEUTRAL
12975,1500,321,-38,BI,WAITING_NEUTRAL
13052,1500,324,-37,BI,WAITING_NEUTRAL
13129,1500,324,-37,BI,WAITING_NEUTRAL
13207,1500,324,-37,BI,WAITING_NEUTRAL
13284,1500,325,-37,BI,WAITING_NEUTRAL
13362,1500,328,-36,BI,WAITING_NEUTRAL
13440,1500,334,-35,BI,WAITING_NEUTRAL
13517,1500,335,-35,BI,WAITING_NEUTRAL
13594,1500,338,-34,BI,WAITING_NEUTRAL
13672,1500,342,-34,BI,WAITING_NEUTRAL
13749,1500,346,-33,BI,WAITING_NEUTRAL
13827,1500,350,-32,BI,WAITING_NEUTRAL
13903,1500,357,-31,BI,WAITING_NEUTRAL
13981,1500,364,-29,BI,WAITING_NEUTRAL
14059,1500,372,-28,BI,WAITING_NEUTRAL
14137,1500,381,-26,BI,WAITING_NEUTRAL
14214,1500,391,-24,BI,WAITING_NEUTRAL
14291,1500,400,-22,BI,WAITING_NEUTRAL
14368,1500,408,-21,BI,WAITING_NEUTRAL
14446,1500,416,-19,BI,WAITING_NEUTRAL
14524,1500,424,-18,BI,WAITING_NEUTRAL
